JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
18              11              25              120             NR:NM           
7               53              27              85              NR:NM           
16              53              8               100             NR:NM           
15              17              13              33              NR:NM           
19              21              24              123             NR:NM           
14              11              18              4               NR:NM           
13              10              21              39              NR:NM           
18              72              14              116             NR:NM           
7               96              30              104             NR:NM           
15              35              5               43              NR:NM           
12              1               3               23              NR:NM           
14              7               2               1               NR:NM           
18              25              96              120             NR:NM           
12              10              11              91              NR:NM           
13              16              27              2               NR:NM           
7               27              14              85              NR:NM           
12              3               7               23              NR:NM           
16              16              38              74              NR:NM           
7               30              57              104             NR:NM           
19              26              21              38              NR:NM           
16              54              15              67              NR:NM           
14              18              15              4               NR:NM           
15              13              12              33              NR:NM           
18              14              55              116             NR:NM           
13              21              9               39              NR:NM           
19              24              25              123             NR:NM           
16              38              11              74              NR:NM           
14              2               11              1               NR:M            
15              5               13              43              NR:NM           
13              27              23              2               NR:NM           
